	Adjustment	Age Group	Best	Comments	Country	Drug Group	High	Low	Method	Source	Year	Longitude	Latitude
360	 	15-64	0,3	 	Portugal	Ecstasy			HHS	ARQ	2012	 -8.224454	 39.399872
361	 	15-64	0,3	 	Slovenia	Ecstasy			HHS	ARQ	2012	 14.995463	 46.151241
362	 	18-64	0,4	 	Germany	Ecstasy			HHS	ARQ	2012	 10.451526	 51.165691
363	 	déc-64	0,01	 	Ecuador	Ecstasy			HHS	Encuesta Nacional Sobre el uso de drogas	2013	 -78.183406	 -1.831239
364	 	déc-65	0,01	 	Bolivia (Plurinational State of)	Ecstasy			HHS	ARQ	2013		
365	 	déc-65	0,19	 	Colombia	Ecstasy	0,29	0,09	HHS	ARQ	2013	 -74.297333	 4.570868
366	 	14+	2,5	 	Australia	Ecstasy			HHS	Government source	2013	 133.775136	 -25.274398
367	 	15-64	0,22	 	Switzerland	Ecstasy			HHS	ARQ	2013	 8.227512	 46.818188
368	 	15-64	1,1	 	Czech Republic	Ecstasy			HHS	ARQ	2013	 15.472962	 49.817492
369	 	15-64	0,7	 	Spain	Ecstasy			HHS	ARQ	2013	 -3.74922	 40.463667
370	 	15-64	0,3	 	Romania	Ecstasy			HHS	ARQ	2013	 24.96676	 45.943161
371	 	15-64	0,4	Data refers to 2013/14. New Survey reported	Italy	Ecstasy			HHS	Government source	2013	 12.56738	 41.87194
372	 	15+	0,5	 	Canada	Ecstasy			HHS	ARQ	2013	 -106.346771	 56.130366
373	 	15+	2	2012/13 New Zealand Health Survey: Drug Module	New Zealand	Ecstasy	2,4	1,7	HHS	Government source	2013	 174.885971	 -40.900557
374	 	16-59	1,6	Data refers to 2013/14. Crime Survey for England and Wales. Data relating to before 2013/14 may vary slightly from more recent data published due to revised reference population.	United Kingdom (England and Wales)	Ecstasy			HHS	ARQ	2013		
375	 	16-64	0,2	 	Denmark	Ecstasy			HHS	ARQ	2013	 9.501785	 56.26392
376	 	16-64	0,4	 	Norway	Ecstasy			HHS	ARQ	2013	 8.468946	 60.472024
377	 	16-64	1,7	Data refers to 2012/13	United Kingdom (Scotland)	Ecstasy			HHS	Government source	2013		
378	 	déc-65	0,02	 	El Salvador	Ecstasy			HHS	Government source	2014	 -88.89653	 13.794185
379	 	15-64	0,08	 	Chile	Ecstasy			HHS	ARQ	2014	 -71.542969	 -35.675147
380	 	15-64	0,9	 	France	Ecstasy			HHS	ARQ	2014	 2.213749	 46.227638
381	 	15-64	2,5	 	Netherlands	Ecstasy			HHS	ARQ	2014	 5.291266	 52.132633
382	 	15-64	1,1	 	United States of America	Ecstasy			HHS	ARQ	2014		
383	 	15-64	0,3	Data refers to 2014/15	Poland	Ecstasy			HHS	ARQ	2014	 19.145136	 51.919438
384	 	15-65	0,4	 	Uruguay	Ecstasy			HHS	ARQ	2014	 -55.765835	 -32.522779
385	 	18-64	0,1	 	Serbia	Ecstasy			HHS	Government sources	2014	 21.005859	 44.016521
386	e	déc-65	0,01	 	Nicaragua	Ecstasy	0,02	0,001	HHS, c	UNODC Estimate	2006	 -85.207229	 12.865416
387	e	déc-65	0,1	 	Suriname	Ecstasy	0,21	0,01	HHS, c	Government source	2007	 -56.027783	 3.919305
388	 	15-64	0,42	 	Puerto Rico	Ecstasy	0,99	0,09	SS	Government source	2005	 -66.590149	 18.220833
389	c, d, e	15-64	0,31	 	Belarus	Ecstasy	0,33	0,3	SS	ESPAD	2007	 27.953389	 53.709807
390	d, e	15-64	0,68	 	Russian Federation	Ecstasy			SS	ESPAD	2007		
391	d, e	15-64	0,75	 	The former Yugoslav Republic of Macedonia	Ecstasy	1,82	0,2	SS	ESPAD	2008		
392	d, e	15-64	0,11	 	Bahamas	Ecstasy	0,6	0,04	SS	Government source	2008	 -77.39628	 25.03428
393	d, e	15-64	0,05	 	Dominican Republic	Ecstasy	0,52	0,02	SS	Government source	2008	 -70.162651	 18.735693
394	d, e	15-64	0,24	 	Hong Kong SAR, China	Ecstasy	0,76	0,06	SS	Government source	2008		
395	a, b, d, e	15-64	0,54	 	Georgia	Ecstasy	0,91	0,17	SS	ARQ	2009	 43.356892	 42.315407
396	d, e	15-64	1	 	Lebanon	Ecstasy	1,7	0,3	SS	Government source/ NGO/Academic research	2009	 35.862285	 33.854721
397	d	15-64	0,48	 	Luxembourg	Ecstasy	0,86	0,11	SS	ARQ	2010	 6.129583	 49.815273
398	d, e	15-64	0,16	 	Brazil	Ecstasy	0,29	0,03	SS	ARQ	2010	 -51.92528	 -14.235004
399	d, e	15-64	0,28	 	Guyana	Ecstasy	0,48	0,08	SS	UNODC Estimate	2010	 -58.93018	 4.860416
400	d, e	15-64	0,24	 	Haiti	Ecstasy	0,41	0,06	SS	UNODC Estimate	2010	 -72.285215	 18.971187
401	d, e	15-64	0,23	 	Jamaica	Ecstasy	0,4	0,06	SS	UNODC Estimate	2010	 -77.297508	 18.109581
402	d, e	15-64	0,17	 	Saint Lucia	Ecstasy	0,3	0,03	SS	UNODC Estimate	2010	 -60.978893	 13.909444
403	d, e	15-64	0,14	 	Trinidad and Tobago	Ecstasy	0,26	0,02	SS	UNODC Estimate	2010	 -61.222503	 10.691803
404	b, d	15-64	0,5	 	Bosnia and Herzegovina	Ecstasy	0,88	0,11	SS	ARQ	2011	 17.679076	 43.915886
405	b, d, e	15-64	0,31	 	South Africa	Ecstasy	0,38	0,24	SS	ARQ	2011	 22.937506	 -30.559482
406	d	15-64	1,19	 	Albania	Ecstasy	1,84	0,54	SS	ESPAD	2011	 20.168331	 41.153332
407	d	15-64	0,58	 	Iceland	Ecstasy	1	0,16	SS	ESPAD	2011	 -19.020835	 64.963051
408	d	15-64	0,86	 	Malta	Ecstasy	1,4	0,31	SS	ESPAD	2011	 14.375416	 35.937496
409	d	15-64	0,86	 	Montenegro	Ecstasy	1,4	0,31	SS	ESPAD	2011	 19.37439	 42.708678
410	d, e	15-64	0,93	 	Ukraine	Ecstasy	1,49	0,37	SS	ESPAD	2011	 31.16558	 48.379433
411	 	15-64	0,07	 	Bolivia (Plurinational State of)	Opioids			 		2004		
412	 	15-64	0,17	Includes heroin and prescription opioids	Democratic Republic of the Congo	Opioids			 		2004		
413	 	15-64	0,05	Opiates	Central African Republic	Opioids			 		2004	 20.939444	 6.611111
414	 	15-64	0,13	Opiates	Congo	Opioids			 		2004		
415	 	15-64	0,17	Opiates	Liberia	Opioids			 		2004	 -9.429499	 6.428055
416	 	15-64	0,14	Opiates	Rwanda	Opioids			 		2004	 29.873888	 -1.940278
417	 	15-64	0,17	Opiates	Sierra Leone	Opioids			 		2004	 -11.779889	 8.460555
418	 	15-64	0,16	Opiates	Somalia	Opioids			 		2004	 46.199616	 5.152149
419	 	15-64	0,17	Opiates	Swaziland	Opioids			 		2004	 31.465866	 -26.522503
420	 	15-64	0,22	Opiates	Chad	Opioids			 		2004	 18.732207	 15.454166
421	 	15-64	0,05	Opiates	Uganda	Opioids			 		2004	 32.290275	 1.373333
422	 	15-64	0,04	Opiates	Zimbabwe	Opioids			 		2004	 29.154857	 -19.015438
423	 	15-64	0,02	Opiates	United Arab Emirates	Opioids			 		2004	 53.847818	 23.424076
424	 	15-64	0,18	Opiates	Cabo Verde	Opioids			 		2004		
425	 	15-64	0,17	Opiates	Kuwait	Opioids			 		2004	 47.481766	 29.31166
426	 	15-64	0,14	Opiates	Libya	Opioids			 		2004	 17.228331	 26.3351
427	 	15-65	0,14	Opiates	Ghana	Opioids			 		2004	 -1.023194	 7.946527
428	 	 	0,02	Opiates	Syrian Arab Republic	Opioids			 		2005		
429	 	déc-64	0,2	Opiates	Taiwan Province of China	Opioids			 		2005		
430	 	déc-64	0,18	Opiates	Peru	Opioids			 		2005	 -75.015152	 -9.189967
431	x	15-64	0,5	Includes prescription opioids	The former Yugoslav Republic of Macedonia	Opioids			 		2005		
432	 	15-65	0,04	Opiates	Guatemala	Opioids			 		2005	 -90.230759	 15.783471
433	x	15-64	0,23	Includes heroin and prescription opioids	Barbados	Opioids	0,29	0,16	 		2006	 -59.543198	 13.193887
434	 	15-64	0,2	Opiates	Hong Kong SAR, China	Opioids			 		2006		
435	 	15-64	0,06	Opiates	Saudi Arabia	Opioids			 		2006	 45.079162	 23.885942
436	 	15-64	0,7	Opiates	Nigeria	Opioids	1	0,3	 		2008	 8.675277	 9.081999
437	 	15-64	2,274984333	Opiates	Iran (Islamic Republic of)	Opioids			 		2010		
438	 	15-64	2,3	Opiates	Seychelles	Opioids			 		2011	 55.491977	 -4.679574
439	x	15-64	5,41	Includes prescription opioids	United States of America	Opioids			 		2014		
440	a, e, x	15-64	0,4	Includes prescription opioids	Bangladesh	Opioids			HHS		2003	 90.356331	 23.684994
441	a,e	15-64	0,001	 	Republic of Korea	Opioids			HHS		2004		
442	e	déc-65	0,5	 	Brazil	Opioids			HHS		2005	 -51.92528	 -14.235004
443	 	déc-65	0,3	Opiates	Belize	Opioids			HHS		2005	 -88.49765	 17.189877
444	e, x	15-64	0,14	Includes prescription opioids	El Salvador	Opioids			HHS		2005	 -88.89653	 13.794185
445	e	15-64	0,15	Opiates	Honduras	Opioids			HHS		2005	 -86.241905	 15.199999
446	 	déc-65	0,02	Opiates	Nicaragua	Opioids			HHS		2006	 -85.207229	 12.865416
447	 	15-64	0,2	Opiates	Thailand	Opioids			HHS		2007	 100.992541	 15.870032
448	x	15-64	0,5	Includes prescription opioids	South Africa	Opioids			HHS		2008	 22.937506	 -30.559482
449	a, c	15-64	0,37	Opiates	Lao People's Democratic Republic	Opioids			HHS		2008		
450	x	16-64	1,1	Prescription opioids and/or opiates	New Zealand	Opioids	1,4	0,8	HHS		2008	 174.885971	 -40.900557
451	x	15-64	2,92	Includes prescription opioids	Afghanistan	Opioids	3,2	2,65	HHS		2009	 67.709953	 33.93911
452	 	16-65	0,15	 	Bermuda	Opioids	0,2	0,1	HHS		2009	 -64.75737	 32.321384
453	 	18-40	0,53	 	Israel	Opioids	0,59	0,46	HHS		2009	 34.851612	 31.046051
454	 	déc-70	0,001	 	Costa Rica	Opioids			HHS		2010	 -83.753428	 9.748917
455	 	12+	0,055	Opiates	Algeria	Opioids	0,06	0,05	HHS		2010	 1.659626	 28.033886
456	a,c	15-64	0,8	Opiates	Myanmar	Opioids	0,9	0,7	HHS		2010		
457	x	déc-65	0,38	include prescription opioids	Mexico	Opioids	0,561	0,194	HHS		2011	 -102.552784	 23.634501
458	 	déc-65	0,03	Opiates	Venezuela (Bolivarian Republic of)	Opioids			HHS		2011		
459	e, x	15-64	0,18	 	Uruguay	Opioids	0,3	0,05	HHS		2011	 -55.765835	 -32.522779
460	x	15-64	0,1	Includes prescription opioids	Argentina	Opioids			HHS		2011	 -63.616672	 -38.416097
461	 	15-64	1,46	Includes prescription opioids	Maldives	Opioids			HHS		2012	 73.22068	 3.202778
462	 	déc-64	0,01	Opiates	Ecuador	Opioids			HHS		2013	 -78.183406	 -1.831239
463	 	déc-65	0,03	Opiates	Colombia	Opioids			HHS		2013	 -74.297333	 4.570868
464	x	14+	3,3	Includes prescription/other opioids	Australia	Opioids			HHS		2013	 133.775136	 -25.274398
465	 	15-64	0,2	Opioid users	Belgium	Opioids			HHS		2013	 4.469936	 50.503887
466	 	15+	2	 	Canada	Opioids			HHS		2013	 -106.346771	 56.130366
467	 	17-64	0,53	Opioids	Sweden	Opioids			HHS		2013	 18.643501	 60.128161
468	 	15-64	0,1	Opiates	Switzerland	Opioids			HHS		2014	 8.227512	 46.818188
469	x	15-64	0,58	Opioids, inludes prescription opioids	Chile	Opioids			HHS		2014	 -71.542969	 -35.675147
470	x	18-64	5,15	Includes prescription opioids	Serbia	Opioids			HHS		2014	 21.005859	 44.016521
471	a, d	15-64	0,44	Opiates	Egypt	Opioids	0,73	0,14	HHS, SS		2006	 30.802498	 26.820553
472	x	15-64	2,4	Includes prescription opioids	Pakistan	Opioids	3,1	2	HHS/I		2012	 69.345116	 30.375321
473	 	15-64	0,2	Problem opiate users	Niger	Opioids			I		2004	 8.081666	 17.607789
474	x	15-64	1	Includes prescription opioids	Kazakhstan	Opioids			I		2006	 66.923684	 48.019573
475	x	15-64	0,8	Includes prescription opioids	Kyrgyzstan	Opioids			I		2006	 74.766098	 41.20438
476	x	15-64	0,54	Includes prescription opioids	Tajikistan	Opioids			I		2006	 71.276093	 38.861034
477	x	15-64	0,8	Includes prescription opioids	Uzbekistan	Opioids			I		2006	 64.585262	 41.377491
478	 	15-64	0,72	Problem opiate users	Ireland	Opioids	0,81	0,62	I		2006	 -8.24389	 53.41291
479	 	15-64	0,12	Problem opiate users	United Kingdom (Northern Ireland)	Opioids	0,16	0,11	I		2006		
480	 	15-64	0,59	Problem heroin users	Luxembourg	Opioids			I		2007	 6.129583	 49.815273
481	 	15-64	0,24	Problem opiate users	Lithuania	Opioids	0,24	0,23	I		2007	 23.881275	 55.169438
482	 	15-64	0,03502168	Problem opiate users	Cambodia	Opioids			I		2007	 104.990963	 12.565679
483	 	15-64	0,13	Problem opiate users	Slovakia	Opioids	0,25	0,1	I		2008	 19.699024	 48.669026
484	x	15-64	1,534574903	Problem Opioid users	Estonia	Opioids			I		2008	 25.013607	 58.595272
485	x	15-64	0,16	Includes prescription opioids	Armenia	Opioids	0,2	0,14	I		2009	 45.038189	 40.069099
486	a,x	15-64	1,29	Opioids, includes prescription opioids	Mauritius	Opioids			I		2009	 57.552152	 -20.348404
487	 	15-64	0,3	Problem opiate users	Bosnia and Herzegovina	Opioids			I		2009	 17.679076	 43.915886
488	 	15-64	0,52224351	Problem opiate users	Denmark	Opioids	0,552607973	0,491879046	I		2009	 9.501785	 56.26392
489	 	15-64	0,94	Problem opiate users	Malaysia	Opioids			I		2009	 101.975766	 4.210484
490	x	15-64	1,36449522	Includes prescription opioids	Georgia	Opioids	1,398607601	1,33038284	I		2010	 43.356892	 42.315407
491	 	15-64	0,330442983	Includes prescription opioids	Singapore	Opioids	0,378583455	0,28230251	I		2010	 103.819836	 1.352083
492	 	15-64	0,32569341	Opiates	Sri Lanka	Opioids	0,33	0,33	I		2010	 80.771797	 7.873054
493	 	15-64	0,107917287	Problem opiate users	Indonesia	Opioids			I		2010	 113.921327	 -0.789275
494	 	15-64	0,361	Problem opiate users	Croatia	Opioids	0,399	0,323	I		2010	 15.2	 45.1
495	 	15-64	1,500542094	Problem opiate users	Azerbaijan	Opioids	1,719148053	1,281936134	I		2010	 47.576927	 40.143105
496	x	15-64	0,510934991	Includes prescription opioids	Bulgaria	Opioids			I		2011	 25.48583	 42.733883
497	 	15-64	0,52	Problem opiate users	France	Opioids			I		2011	 2.213749	 46.227638
498	 	15-64	0,121234171	Problem opiate users	Republic of Moldova	Opioids			I		2011		
499	 	15-64	0,113105101	Problem opiate users	Romania	Opioids			I		2011	 24.96676	 45.943161
500	 	15-64	0,048	Problem opiate users	Hungary	Opioids	0,053	0,043	I		2011	 19.503304	 47.162494
501	 	15-64	0,026	Problem opiate users	Turkey	Opioids	0,054	0,022	I		2011	 35.243322	 38.963745
502	 	15-64	0,083546508	Problem opiate users	Morocco	Opioids			I		2011	 -7.09262	 31.791702
503	 	15-64	0,04	Problem opiate users	Philippines	Opioids	0,04	0,03	I		2011	 121.774017	 12.879721
504	 	15-64	0,121856343	Problem opiate users	Tunisia	Opioids			I		2011	 9.537499	 33.886917
505	 	15-64	0,53	Problem opiate users	Viet Nam	Opioids			I		2011	 108.277199	 14.058324
506	h,g	15-64	0,586121694	Problem opiate users	Belarus	Opioids			I		2011	 27.953389	 53.709807
507	 	15-64	0,75	Data refers to 2011/12. Problem opiate users	United Kingdom (England and Wales)	Opioids	0,78	0,73	I		2012		
508	 	15-64	0,126	Problem opiate users	Netherlands	Opioids	0,147	0,114	I		2012	 5.291266	 52.132633
509	 	15-64	0,29	Problem opiate users	Portugal	Opioids			I		2012	 -8.224454	 39.399872
510	 	15-64	0,49	Problem opiate users	Slovenia	Opioids	0,58	0,43	I		2012	 14.995463	 46.151241
511	 	15-64	0,215181775	Problem opiate users	Kenya	Opioids			I		2012	 37.906193	 -0.023559
512	 	15-64	1,05	Problem opiate users	Ukraine	Opioids	1,23	0,88	I		2012	 31.16558	 48.379433
513	 	15-64	0,19	Problem opiate users	China	Opioids	0,25	0,13	I		2012	 104.195397	 35.86166
514	 	15-64	0,618	Problem Opiate users	Malta	Opioids	0,664	0,581	I		2012	 14.375416	 35.937496
515	 	15-64	0,41	Problem opioid users	Finland	Opioids	0,45	0,38	I		2012	 25.748151	 61.92411
516	 	15-64	1,51	Data refers to 2012/13. Estimated as 90% of opiate and benzodiazepine users DORIS	United Kingdom (Scotland)	Opioids	1,57	1,47	I		2013		
517	 	15-64	0,29	Problem opiate users	Germany	Opioids			I		2013	 10.451526	 51.165691
518	 	15-64	0,27	Problem opiate users	Norway	Opioids			I		2013	 8.468946	 60.472024
519	 	15-64	0,1	Problem opiate users	Poland	Opioids			I		2013	 19.145136	 51.919438
520	 	15-64	0,5	Problem opiate users	Austria	Opioids	0,51	0,49	I		2013	 14.550072	 47.516231
521	 	15-64	0,15	Problem opiate users	Cyprus	Opioids	0,21	0,12	I		2013	 33.429859	 35.126413
522	 	15-64	0,22	Problem opiate users	Greece	Opioids	2,57	0,96	I		2013	 21.824312	 39.074208
523	 	15-64	0,62	Problem opiate users	Latvia	Opioids	1	0,42	I		2013	 24.603189	 56.879635
524	 	15-64	0,8	Problem opiate users	Italy	Opioids			I		2013	 12.56738	 41.87194
525	 	15-64	0,21	Problem opiate users	Spain	Opioids	0,25	0,16	I		2013	 -3.74922	 40.463667
526	 	15-64	0,15	Problem Opiate users (Heroin, but includes methadone, buprenorphine)	Czech Republic	Opioids			I		2013	 15.472962	 49.817492
527	 	15-64	0,24	Problem opiate users	Nepal	Opioids	0,29	0,18	I, b		2006	 84.124008	 28.394857
528	 	15-64	0,32	Opiates	Turkmenistan	Opioids			R		2007	 59.556278	 38.969719
529	h,g	15-64	0,45	Problem opiate users	Albania	Opioids			R		2007	 20.168331	 41.153332
530	x	15-64	2,288852103	Includes prescription/other opioids	Russian Federation	Opioids			R, I		2010		
531	a, b	15-64	0,2	Mainly opiates	Liechtenstein	Opioids			SS		2005	 9.555373	 47.166
532	a, d, e, x	15-64	0,2	Includes prescription opioids	Haiti	Opioids	0,22	0,19	SS		2006	 -72.285215	 18.971187
533	d,e	15-64	1	Includes prescription opioids	Jamaica	Opioids	1,5	0,5	SS		2006	 -77.297508	 18.109581
534	a, d, e	15-64	0,08	Opiates	Senegal	Opioids			SS		2006	 -14.452362	 14.497401
535	d	15-64	0,068058903	 	Dominican Republic	Opioids	0,085078157	0,05103965	SS		2008	 -70.162651	 18.735693
